line;code;canonical name;parent;other names
357;inc-pse;Sauraseni Prakrit;
358;xme-sed;Sedehi;
359;tly-san;Shandarmani;Southern Talysh;
360;wuu-sha;Shanghainese;
361;tai-shz;Shangsi Zhuang;
362;ps-ser;Sher;Southeastern Pashto;
363;fay-shr;Shirazi;
364;oc-jud;Shuadit;
365;sli;Silesian German;
366;soj,xme-soi;Soi;
367;fay-sor;Sorkhi;
368;Borders Scots,Sou.Sc.,Southern Scots,sco-sou;South Scots;
369;ko-se;Southeastern Korean;
370;ps-sea;Southeastern Pashto;
371;bal-sou,bcc;Southern Balochi;
372;tly-sou;Southern Talysh;
373;xme-ttc-sou;Southern Tati;
374;ko-sw;Southwestern Korean;
375;ps-swe;Southwestern Pashto;
376;gem-sue;Suevic;
377;de-CH;Swiss High German;
378;Swiss French,Switzerland French,fr-CH;Switzerland French;
379;Swiss Italian,Switzerland Italian,it-CH;Switzerland Italian;
380;tks-tak;Takestani;
381;tly-tal;Taleshdulabi;Central Talysh;
382;thv;Tamahaq;
383;taq;Tamasheq;
384;xme-trh;Tarehi;
385;xme-tar;Tari;
386;ttq;Tawellemmet;
387;thz;Tayert;
388;grc-ths;Thessalian Greek;Aeolic Greek;
389;cmn-tongyong;Tongyong Pinyin;
390;sh-tor;Torlakian Serbo-Croatian;
391;als;Tosk Albanian;
392;xtg;Transalpine Gaulish;
393;tly-tul;Tularudi;Central Talysh;
394;und-tdt;Turdetani;
395;und-tdl;Turduli;
396;Uls.Sc.,Ulster Scots,sco-uls;Ulster Scots;
397;es-US;United States Spanish;
398;sxu;Upper Saxon;
399;vaf,xme-vaf;Vafsi;
400;ca-val;Valencian;
401;xme-val;Valujerdi;
402;xme-var;Varani;
403;xme-vrz;Varzenehi;
404;sa-ved;Vedic Sanskrit;
405;VG.,Viennese German,de-AT-vie;Viennese German;Austrian German;
406;oc-viv;Vivaro-Alpine;
407;xme-von;Vonishuni;
408;VL.,Vulgar Latin,la-vul;Vulgar Latin;
409;ssn;Waata;
410;cmn-wadegile;Wade–Giles;
411;ps-waz;Waziri;Southeastern Pashto;
412;bal-wes;Western Balochi;
413;bgn;Western Balochi;
414;xme-ttc-wes;Western Tati;
415;woy;Weyto;
416;und-xbi;Xianbei;
417;und-xnu;Xiongnu;
418;xme-yar;Yarandi;
419;xme-yaz;Yazdi;
420;ae-yng;Younger Avestan;Old Avestan;
421;ko-yuk;Yukjin Korean;
422;xme-zef;Zefrehi;
423;nan-zz;Zhangzhou Hokkien;Hokkien;
424;xme-zor;Zori;
425;gbz,xme-dar;Zoroastrian Dari;
426;qfa-sub-ibe;a pre-Roman substrate of Iberia;substrate;
427;qfa-sub-bal;a pre-Roman substrate of the Balkans;substrate;
428;pygmy,qfa-pyg;a substrate language originally spoken by the Pygmies;substrate;
429;Tax.,mul-tax;taxonomic name;
430;qfa-sub-bma;the BMAC substrate;substrate;
