line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
241;alv-gtm-pro;Proto-Central Togo;Proto-Central Togo language;reconstructed;alv-gtm;Ghana-Togo Mountain;;;exceptional;Latn;;
242;alv-gwa;Gwara;Gwara language;;nic-pla;Platoid;;;exceptional;Latn;;
243;alv-hei-pro;Proto-Heiban;Proto-Heiban language;reconstructed;alv-hei;Heiban;;;exceptional;Latn;;
244;alv-ido-pro;Proto-Idomoid;Proto-Idomoid language;reconstructed;alv-ido;Idomoid;;;exceptional;Latn;;
245;alv-igb-pro;Proto-Igboid;Proto-Igboid language;reconstructed;alv-igb;Igboid;;;exceptional;Latn;;
246;alv-kwa-pro;Proto-Kwa;Proto-Kwa language;reconstructed;alv-kwa;Kwa;;;exceptional;Latn;;
247;alv-mum-pro;Proto-Mumuye;Proto-Mumuye language;reconstructed;alv-mum;Mumuye;;;exceptional;Latn;;
248;alv-nup-pro;Proto-Nupoid;Proto-Nupoid language;reconstructed;alv-nup;Nupoid;;;exceptional;Latn;;
249;alv-pro;Proto-Atlantic-Congo;Proto-Atlantic-Congo language;reconstructed;alv;Atlantic-Congo;;;exceptional;Latn;;
250;alv-yor-pro;Proto-Yoruboid;Proto-Yoruboid language;reconstructed;alv-yor;Yoruboid;;;exceptional;Latn;;
251;alw;Alaba;Alaba language;;cus-hec;Highland East Cushitic;;;;Latn;Alaba-K'abeena,Alaaba,K'abeena;
252;alx;Amol;Amol language;;qfa-tor;Torricelli;;;;Latn;;
253;aly;Alyawarr;Alyawarr language;;aus-pam;Pama-Nyungan;;;;Latn;;
254;alz;Alur;Alur language;;sdv-los;Southern Luo;;;;Latn;;
255;am;Amharic;Amharic language;;sem-eth;Ethiopian Semitic;;;;Ethi;;
256;ama;Amanayé;Amanayé language;;tup-gua;Tupi-Guarani;;;;Latn;;
257;amb;Ambo;Ambo language;;nic-tvn;Northern Tivoid;;;;Latn;;
258;amc;Amahuaca;Amahuaca language;;sai-pan;Panoan;;;;Latn;;
259;ame;Yanesha';Yanesha' language;;awd;Arawakan;;;;Latn;Amuesha;
260;amf;Hamer-Banna;Hamer-Banna language;;omv-aro;Aroid;;;;Latn;;
261;amg;Amurdag;Amurdag language;;aus-wdj;Iwaidjan;;;;Latn;Amarag;
262;ami;Amis;Amis language;;map;Austronesian;;;;Latn;Nataoran Amis;
263;amj;Amdang;Amdang language;;ssa-fur;Fur;;;;Latn;Biltine,Mimi;
264;amk;Ambai;Ambai language;;poz-hce;Halmahera-Cenderawasih;;;;Latn;Wadapi-Laut;
265;aml;War-Jaintia;War-Jaintia language;;aav-khs;Khasian;;;;Latn;;
